id,project,bug,verdict,excluded,num_actions,num_text_messages,num_unique_actions,num_reads,num_source_reads,num_test_reads,num_searches,num_external_searches,num_edits,num_compile,num_test_runs,num_binary_inspections,num_external_path_refs,num_tmp_path_refs,num_unique_paths,num_unique_source_paths,num_unique_test_paths,num_unique_external_paths,turn_to_first_edit,turn_to_first_test,edits_before_first_test,actions_before_first_edit,longest_no_test_span,has_find_root,has_cache_access,has_binary_inspection
Chart-1,Chart,1,PLAUSIBLE,,6,2,5,0,0,0,3,0,1,1,1,0,0,0,2,1,1,0,4,6,1,3,5,0,0,0
Chart-2,Chart,2,PLAUSIBLE,,11,5,6,2,2,0,4,0,2,1,2,0,0,0,5,4,1,0,7,10,2,6,9,0,0,0
Chart-3,Chart,3,PLAUSIBLE,,9,3,6,1,1,0,4,0,2,1,1,0,0,0,2,1,1,0,5,9,2,4,8,0,0,0
Chart-4,Chart,4,PLAUSIBLE,,6,2,5,1,1,0,2,0,1,1,1,0,0,0,1,1,0,0,4,6,1,3,5,0,0,0
Chart-5,Chart,5,PLAUSIBLE,,8,4,6,1,1,0,3,0,1,1,2,0,0,0,3,2,1,0,5,7,1,4,6,0,0,0
Chart-6,Chart,6,PLAUSIBLE,,9,3,5,1,1,0,4,0,1,1,2,0,0,0,3,1,0,0,6,8,1,5,7,0,0,0
Chart-7,Chart,7,PLAUSIBLE,,5,2,5,1,1,0,2,0,1,0,1,0,0,0,2,1,1,0,4,5,1,3,4,0,0,0
Chart-8,Chart,8,PLAUSIBLE,,5,3,4,0,0,0,2,0,1,0,2,0,0,0,2,1,1,0,3,4,1,2,3,0,0,0
Chart-9,Chart,9,PLAUSIBLE,,6,2,5,1,1,0,1,0,1,1,2,0,0,0,2,1,1,0,3,5,1,2,4,0,0,0
Chart-10,Chart,10,PLAUSIBLE,,6,2,6,1,1,0,2,0,1,0,1,0,1,0,5,2,1,1,5,6,1,4,5,0,0,0
Chart-11,Chart,11,PLAUSIBLE,,4,2,4,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,3,4,1,2,3,0,0,0
Chart-12,Chart,12,PLAUSIBLE,,9,4,5,2,2,0,2,0,2,1,2,0,2,0,3,1,0,2,5,8,2,4,7,0,0,0
Chart-13,Chart,13,PLAUSIBLE,,9,5,6,2,1,1,3,0,1,1,2,0,3,0,4,1,1,2,6,8,1,5,7,0,0,0
Chart-14,Chart,14,PLAUSIBLE,,13,6,5,3,3,0,3,0,4,1,2,0,0,0,2,2,0,0,4,12,4,3,11,0,0,0
Chart-15,Chart,15,PLAUSIBLE,,23,6,10,2,2,0,10,1,2,2,3,0,5,2,12,3,1,3,17,6,0,16,15,1,0,0
Chart-16,Chart,16,PLAUSIBLE,,9,4,6,1,1,0,2,0,2,1,3,0,0,0,3,1,1,0,4,7,2,3,6,0,0,0
Chart-17,Chart,17,PLAUSIBLE,,7,4,6,1,1,0,2,0,1,1,2,0,0,0,2,1,1,0,4,6,1,3,5,0,0,0
Chart-18,Chart,18,PLAUSIBLE,,18,11,9,4,3,1,4,0,4,1,3,0,0,0,6,3,2,0,3,5,1,2,6,0,0,0
Chart-19,Chart,19,PLAUSIBLE,,9,6,4,0,0,0,4,0,2,1,2,0,4,0,4,1,0,3,5,8,2,4,7,0,0,0
Chart-20,Chart,20,PLAUSIBLE,,7,3,5,1,1,0,3,0,1,0,2,0,0,0,2,1,1,0,5,6,1,4,5,0,0,0
Chart-21,Chart,21,PLAUSIBLE,,9,2,6,2,2,0,3,0,1,1,2,0,0,0,2,1,1,0,6,8,1,5,7,0,0,0
Chart-22,Chart,22,PLAUSIBLE,,16,5,7,3,3,0,3,0,4,1,4,0,1,0,6,2,2,1,6,9,2,5,8,0,0,0
Chart-23,Chart,23,PLAUSIBLE,,9,5,5,1,1,0,4,0,1,1,2,0,4,0,4,1,0,3,5,8,1,4,7,0,0,0
Chart-24,Chart,24,PLAUSIBLE,,3,2,3,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,3,1,1,2,0,0,0
Chart-25,Chart,25,PLAUSIBLE,,10,7,6,1,1,0,2,0,3,1,3,0,0,0,3,1,1,0,4,8,3,3,7,0,0,0
Chart-26,Chart,26,PLAUSIBLE,,19,7,7,0,0,0,9,0,2,2,2,0,13,3,11,1,0,7,11,17,2,10,16,0,0,0
Cli-1,Cli,1,PLAUSIBLE,,7,1,6,2,1,1,2,0,1,1,1,0,2,0,3,1,1,1,5,7,1,4,6,0,0,0
Cli-2,Cli,2,PLAUSIBLE,,24,7,7,3,3,0,7,0,4,1,6,0,9,0,8,2,0,6,7,9,1,6,8,0,0,0
Cli-3,Cli,3,PLAUSIBLE,,6,1,6,2,1,1,1,0,1,1,1,0,0,0,3,2,1,0,4,6,1,3,5,0,0,0
Cli-4,Cli,4,PLAUSIBLE,,8,2,6,2,2,0,3,0,1,1,1,0,0,0,4,3,1,0,6,8,1,5,7,0,0,0
Cli-5,Cli,5,PLAUSIBLE,,3,2,3,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,3,1,1,2,0,0,0
Cli-7,Cli,7,PLAUSIBLE,,9,2,6,2,1,1,3,0,2,1,1,0,0,0,5,4,1,0,6,9,2,5,8,0,0,0
Cli-8,Cli,8,PLAUSIBLE,,22,7,9,2,2,0,5,0,2,1,2,0,12,5,9,1,1,5,13,15,1,12,14,0,0,0
Cli-9,Cli,9,PLAUSIBLE,,4,2,3,0,0,0,2,0,1,0,1,0,2,0,3,1,0,2,3,4,1,2,3,0,0,0
