id,project,bug,verdict,note,similarity,num_turns,total_cost_usd,wallclock_s,agent_s,patch_added_lines,patch_removed_lines,input_tokens,output_tokens,cache_read_input_tokens
Chart-1,Chart,1,PLAUSIBLE,all developer tests pass,identical,7,0.08746000000000001,87,27,1,1,14,1027,128470
Chart-2,Chart,2,PLAUSIBLE,all developer tests pass,same-files,12,0.2201178,137,83,20,0,24,6127,303969
Chart-3,Chart,3,PLAUSIBLE,all developer tests pass,same-files,10,0.1270682,97,47,4,0,20,2235,204646
Chart-4,Chart,4,PLAUSIBLE,all developer tests pass,identical,7,0.12274939999999998,91,34,3,1,14,1290,162127
Chart-5,Chart,5,PLAUSIBLE,all developer tests pass,same-files,9,0.14897939999999998,112,58,16,1,18,4656,183707
Chart-6,Chart,6,PLAUSIBLE,all developer tests pass,same-files,10,0.15223199999999998,104,46,11,1,20,1820,238950
Chart-7,Chart,7,PLAUSIBLE,all developer tests pass,identical,6,0.0794034,67,26,2,2,12,1179,103282
Chart-8,Chart,8,PLAUSIBLE,all developer tests pass,identical,6,0.078874,66,31,1,1,12,1041,105030
Chart-9,Chart,9,PLAUSIBLE,all developer tests pass,same-files,7,0.0922052,81,38,3,0,14,1619,128446
Chart-10,Chart,10,PLAUSIBLE,all developer tests pass,identical,7,0.09223980000000001,76,28,1,1,14,1350,126689
Chart-11,Chart,11,PLAUSIBLE,all developer tests pass,identical,5,0.0677726,74,19,1,1,10,772,83228
Chart-12,Chart,12,PLAUSIBLE,all developer tests pass,identical,10,0.09751720000000001,96,45,1,1,20,1416,180276
Chart-13,Chart,13,PLAUSIBLE,all developer tests pass,same-files,10,0.1308248,87,38,3,2,20,2020,211414
Chart-14,Chart,14,PLAUSIBLE,all developer tests pass,same-files,14,0.20614780000000002,119,65,15,3,28,2926,391344
Chart-15,Chart,15,PLAUSIBLE,all developer tests pass,different,24,0.2577996,266,218,10,10,48,4424,595903
Chart-16,Chart,16,PLAUSIBLE,all developer tests pass,identical,10,0.20310060000000005,86,46,3,3,20,2286,307408
Chart-17,Chart,17,PLAUSIBLE,all developer tests pass,same-files,8,0.08726779999999998,91,35,8,1,16,1319,141014
Chart-18,Chart,18,PLAUSIBLE,all developer tests pass,same-files,19,0.31094980000000005,150,89,7,3,38,4616,620259
Chart-19,Chart,19,PLAUSIBLE,all developer tests pass,same-files,10,0.1284374,87,36,15,1,20,1959,213432
Chart-20,Chart,20,PLAUSIBLE,all developer tests pass,identical,8,0.08887920000000002,84,32,1,1,16,1073,145466
Chart-21,Chart,21,PLAUSIBLE,all developer tests pass,same-files,10,0.1360088,91,49,35,0,20,2903,203054
Chart-22,Chart,22,PLAUSIBLE,all developer tests pass,same-files,17,0.32684359999999996,121,83,24,3,34,5521,605813
Chart-23,Chart,23,PLAUSIBLE,all developer tests pass,identical,10,0.1378778,79,38,19,0,18,1549,204754
Chart-24,Chart,24,PLAUSIBLE,all developer tests pass,identical,4,0.0656738,56,13,1,1,8,648,66209
Chart-25,Chart,25,PLAUSIBLE,all developer tests pass,same-files,11,0.24190579999999998,108,67,32,20,20,5635,313519
Chart-26,Chart,26,PLAUSIBLE,all developer tests pass,same-files,20,0.2404098,113,71,3,1,40,4044,525914
Cli-1,Cli,1,PLAUSIBLE,all developer tests pass,same-files,8,0.0982042,43,24,7,0,16,1153,148161
Cli-2,Cli,2,PLAUSIBLE,all developer tests pass,same-files,25,0.574998,258,241,8,0,50,19647,927675
Cli-3,Cli,3,PLAUSIBLE,all developer tests pass,same-files,7,0.09468120000000001,47,28,5,1,14,1842,127241
Cli-4,Cli,4,PLAUSIBLE,all developer tests pass,same-files,9,0.10122500000000001,42,23,3,0,18,1413,170560
Cli-5,Cli,5,PLAUSIBLE,all developer tests pass,same-files,4,0.06568979999999999,37,14,4,0,8,635,67124
Cli-7,Cli,7,PLAUSIBLE,all developer tests pass,identical,10,0.11463640000000001,49,33,2,2,20,2061,189987
Cli-8,Cli,8,PLAUSIBLE,all developer tests pass,identical,23,0.3515808,165,146,1,1,46,10777,618114
Cli-9,Cli,9,PLAUSIBLE,all developer tests pass,same-files,5,0.07016320000000001,31,17,4,0,10,632,86376
Cli-10,Cli,10,PLAUSIBLE,all developer tests pass,identical,11,0.10798220000000001,52,33,2,1,22,1910,201136
Cli-11,Cli,11,PLAUSIBLE,all developer tests pass,identical,10,0.1051944,47,29,2,2,20,2034,181597
Cli-12,Cli,12,PLAUSIBLE,all developer tests pass,same-files,9,0.1822058,77,56,8,1,18,4290,212534
Cli-13,Cli,13,PLAUSIBLE,all developer tests pass,same-files,42,0.9977264,336,316,10,2,84,24599,2209892
Cli-14,Cli,14,PLAUSIBLE,all developer tests pass,same-files,9,0.1350226,63,43,4,2,18,2550,194713
Cli-15,Cli,15,PLAUSIBLE,all developer tests pass,same-files,11,0.1910596,69,51,16,4,22,3439,271698
Cli-16,Cli,16,PLAUSIBLE,all developer tests pass,same-files,30,0.6044342,205,182,17,0,60,12766,1268031
Cli-17,Cli,17,PLAUSIBLE,all developer tests pass,identical,9,0.1142948,54,35,1,0,16,1723,163989
Cli-18,Cli,18,PLAUSIBLE,all developer tests pass,same-files,5,0.10719499999999998,45,28,1,1,10,2075,95015
Cli-19,Cli,19,PLAUSIBLE,all developer tests pass,same-files,10,0.1250872,55,33,4,0,20,2023,207801
Cli-20,Cli,20,PLAUSIBLE,all developer tests pass,same-files,14,0.212535,94,76,10,3,28,5440,347345
Cli-21,Cli,21,PLAUSIBLE,all developer tests pass,different,19,0.3263152,107,89,8,0,38,6540,606596
Cli-22,Cli,22,PLAUSIBLE,all developer tests pass,same-files,16,0.26276399999999994,98,81,16,7,32,6553,450305
Cli-23,Cli,23,PLAUSIBLE,all developer tests pass,same-files,6,0.1139636,46,31,11,5,12,2547,120493
Cli-24,Cli,24,PLAUSIBLE,all developer tests pass,identical,13,0.2555842,129,112,1,2,26,8461,326031
Cli-25,Cli,25,PLAUSIBLE,all developer tests pass,identical,7,0.1523794,76,63,1,1,14,5507,131542
Cli-26,Cli,26,PLAUSIBLE,all developer tests pass,same-files,7,0.097134,40,26,8,1,12,1531,113450
Cli-27,Cli,27,PLAUSIBLE,all developer tests pass,identical,9,0.1105818,45,33,2,2,18,1473,181994
Cli-28,Cli,28,PLAUSIBLE,all developer tests pass,identical,7,0.09062659999999999,38,27,1,1,14,1534,124228
Cli-29,Cli,29,PLAUSIBLE,all developer tests pass,identical,7,0.10088519999999998,48,35,3,7,14,2422,125011
Cli-30,Cli,30,PLAUSIBLE,all developer tests pass,same-files,15,0.23549700000000007,64,50,29,7,30,3838,438255
Cli-31,Cli,31,PLAUSIBLE,all developer tests pass,different,14,0.15433340000000004,72,56,1,1,28,3570,282362
Cli-32,Cli,32,PLAUSIBLE,all developer tests pass,identical,8,0.14291859999999998,66,49,0,5,16,4256,163823
Cli-33,Cli,33,PLAUSIBLE,all developer tests pass,same-files,14,0.17865220000000004,84,70,31,1,28,4445,305956
Cli-34,Cli,34,PLAUSIBLE,all developer tests pass,same-files,17,0.22049679999999997,64,52,3,3,34,3585,449809
Cli-35,Cli,35,PLAUSIBLE,all developer tests pass,same-files,8,0.08997640000000001,40,26,6,2,16,1408,144677
Cli-36,Cli,36,PLAUSIBLE,all developer tests pass,different,9,0.12391360000000003,45,31,2,2,18,1452,190828
Cli-37,Cli,37,PLAUSIBLE,all developer tests pass,same-files,14,0.22807100000000002,93,73,8,1,28,5108,363425
Cli-38,Cli,38,PLAUSIBLE,all developer tests pass,identical,8,0.1498866,53,39,5,1,16,2872,171703
Cli-39,Cli,39,PLAUSIBLE,all developer tests pass,same-files,10,0.13702920000000002,44,32,12,1,20,2180,218231
Cli-40,Cli,40,PLAUSIBLE,all developer tests pass,same-files,13,0.15301540000000005,67,51,28,0,26,3333,268307
Closure-1,Closure,1,PLAUSIBLE,all developer tests pass,same-files,13,0.2618568,287,127,4,2,26,3466,439159
Closure-2,Closure,2,PLAUSIBLE,all developer tests pass,identical,7,0.0870584,372,99,4,0,14,1326,127602
Closure-3,Closure,3,PLAUSIBLE,all developer tests pass,same-files,18,0.3584354,345,198,12,0,36,6849,652197
Closure-4,Closure,4,PLAUSIBLE,all developer tests pass,identical,14,0.219854,400,144,2,2,28,2907,406985
Closure-5,Closure,5,PLAUSIBLE,all developer tests pass,identical,8,0.1249978,243,117,3,0,16,1434,179194
Closure-6,Closure,6,PLAUSIBLE,all developer tests pass,identical,38,0.5788196000000001,518,262,0,8,76,12629,1383058
Closure-7,Closure,7,PLAUSIBLE,all developer tests pass,same-files,16,0.31693040000000006,447,183,6,1,32,5062,543292
Closure-8,Closure,8,PLAUSIBLE,all developer tests pass,same-files,10,0.1260436,220,99,2,1,20,1714,212323
Closure-9,Closure,9,PLAUSIBLE,all developer tests pass,same-files,9,0.11357879999999998,232,103,1,0,18,2159,172409
Closure-10,Closure,10,PLAUSIBLE,all developer tests pass,identical,14,0.19466940000000002,346,128,1,1,28,4198,331452
Closure-11,Closure,11,PLAUSIBLE,all developer tests pass,identical,10,0.15785040000000006,332,125,0,2,20,3600,225282
Closure-12,Closure,12,PLAUSIBLE,all developer tests pass,different,19,0.48143199999999997,337,244,11,0,38,14387,764930
Closure-13,Closure,13,PLAUSIBLE,all developer tests pass,same-files,64,1.3732004,1231,1092,4,1,128,35640,3501452
Closure-14,Closure,14,PLAUSIBLE,all developer tests pass,identical,38,1.7115298000000003,1025,895,1,1,76,65052,2975769
Closure-15,Closure,15,PLAUSIBLE,all developer tests pass,identical,15,0.2251842,239,152,3,0,30,4735,402381
Closure-16,Closure,16,PLAUSIBLE,all developer tests pass,same-files,12,0.20232340000000001,227,133,19,9,24,5149,294787
Closure-17,Closure,17,PLAUSIBLE,all developer tests pass,same-files,75,1.3562841999999997,914,714,16,1,150,24719,4016746
Closure-18,Closure,18,PLAUSIBLE,all developer tests pass,identical,25,0.386061,316,164,1,1,50,8252,806595
Closure-19,Closure,19,PLAUSIBLE,all developer tests pass,different,17,0.2396814,393,184,1,1,34,6559,419952
Closure-20,Closure,20,PLAUSIBLE,all developer tests pass,same-files,9,0.1097118,226,109,2,1,18,1691,177379
Closure-21,Closure,21,PLAUSIBLE,all developer tests pass,same-files,12,0.3188212,414,204,0,8,24,13038,337851
Closure-22,Closure,22,PLAUSIBLE,all developer tests pass,same-files,15,0.4107772,630,404,7,1,30,17614,460656
Closure-23,Closure,23,PLAUSIBLE,all developer tests pass,same-files,13,0.1731662,228,120,15,2,26,4136,279991
Closure-24,Closure,24,PLAUSIBLE,all developer tests pass,same-files,22,0.3000458,347,221,17,10,44,8210,559454
Closure-25,Closure,25,PLAUSIBLE,all developer tests pass,same-files,9,0.10684380000000002,244,99,7,0,18,1895,167754
Closure-26,Closure,26,PLAUSIBLE,all developer tests pass,same-files,11,0.17924539999999997,391,172,5,1,22,2750,289137
Closure-27,Closure,27,PLAUSIBLE,all developer tests pass,same-files,10,0.14611320000000003,322,109,4,3,20,2370,232436
Closure-28,Closure,28,PLAUSIBLE,all developer tests pass,same-files,13,0.17495000000000002,257,127,7,2,26,3161,310805
Closure-29,Closure,29,PLAUSIBLE,all developer tests pass,same-files,33,1.0658341999999996,556,458,56,0,66,34017,1954631
Closure-30,Closure,30,PLAUSIBLE,all developer tests pass,different,28,0.8843886,555,437,21,2,56,29757,1494218
Closure-31,Closure,31,PLAUSIBLE,all developer tests pass,identical,20,0.24718579999999998,274,114,0,1,40,4608,505159
Closure-32,Closure,32,PLAUSIBLE,all developer tests pass,same-files,21,0.6566034000000001,516,374,14,1,42,25090,919607
Closure-33,Closure,33,PLAUSIBLE,all developer tests pass,same-files,36,0.48999839999999995,419,245,1,1,72,12287,1111172
Closure-34,Closure,34,PLAUSIBLE,all developer tests pass,different,20,0.5680182000000001,531,353,56,23,40,22915,806071
Closure-35,Closure,35,PLAUSIBLE,all developer tests pass,different,43,0.6383468,441,305,24,1,86,16255,1515504
Closure-36,Closure,36,PLAUSIBLE,all developer tests pass,different,60,1.4092672000000004,681,556,11,1,120,38047,3480396
Closure-37,Closure,37,PLAUSIBLE,all developer tests pass,different,33,0.43264780000000014,418,231,13,3,66,10402,960744
Closure-38,Closure,38,PLAUSIBLE,all developer tests pass,identical,9,0.1005172,263,81,1,1,18,1603,164816
Closure-39,Closure,39,PLAUSIBLE,all developer tests pass,same-files,15,0.27704520000000005,371,158,5,4,30,6063,443526
Closure-40,Closure,40,PLAUSIBLE,all developer tests pass,identical,14,0.38306480000000004,289,169,1,3,28,6834,556344
Closure-41,Closure,41,PLAUSIBLE,all developer tests pass,same-files,20,0.28475760000000006,402,198,7,0,40,5650,560063
Closure-42,Closure,42,PLAUSIBLE,all developer tests pass,same-files,28,0.258193,334,140,6,0,56,4758,636355
Closure-43,Closure,43,PLAUSIBLE,all developer tests pass,same-files,20,0.5639621999999999,446,231,16,0,40,12248,961566
Closure-44,Closure,44,PLAUSIBLE,all developer tests pass,identical,11,0.1370378,306,122,2,0,22,3514,210544
Closure-45,Closure,45,PLAUSIBLE,all developer tests pass,same-files,10,0.2380268,271,137,3,2,20,5445,294424
Closure-46,Closure,46,PLAUSIBLE,all developer tests pass,same-files,16,0.2475866,277,144,10,9,32,5047,448533
Closure-47,Closure,47,PLAUSIBLE,all developer tests pass,different,53,1.1681256,797,592,9,4,106,22918,3127218
Closure-48,Closure,48,PLAUSIBLE,all developer tests pass,same-files,36,0.6881528,562,377,12,0,72,21579,1387299
Closure-49,Closure,49,PLAUSIBLE,all developer tests pass,different,66,2.3298940000000004,1020,874,48,2,132,53485,6106655
Closure-50,Closure,50,PLAUSIBLE,all developer tests pass,same-files,11,0.16124980000000003,208,101,7,2,22,3097,259229
Closure-51,Closure,51,PLAUSIBLE,all developer tests pass,same-files,10,0.114918,253,95,3,2,20,2514,184730
Closure-52,Closure,52,PLAUSIBLE,all developer tests pass,same-files,11,0.16460819999999998,311,137,4,1,22,5098,222496
Closure-53,Closure,53,PLAUSIBLE,all developer tests pass,same-files,8,0.13894979999999998,218,96,7,3,16,2574,180014
Closure-54,Closure,54,PLAUSIBLE,all developer tests pass,different,119,3.9807530000000004,1520,1331,42,9,236,93606,11770675
